tbl;Year;quarter;citymarketid;city;markets;cur_passengers;cur_fare;cur_yield;distance;ly_passengers;ly_fare;ly_yield;ly_distance;Geocoded_City;tbl2pk
Table 2;1997;4;31454;Orlando, FL;61;3,954,740;138.10;12.73;1,084.2;3,517,040;132.53;12.36;1,071.4;"Orlando, FL
(28.538331, -81.378879)";1997431454
Table 2;2008;4;32211;Las Vegas, NV;74;5,784,810;167.35;14.05;1,190.5;6,681,300;154.51;13.05;1,183.9;"Las Vegas, NV
(36.169202, -115.140597)";2008432211
Table 2;2002;1;33244;Memphis, TN;17;380,730;202.59;24.84;815.3;471,520;210.97;27.36;771.1;"Memphis, TN
(35.143378, -90.052136)";2002133244
Table 2;2006;3;31295;Detroit, MI;40;2,973,930;170.29;16.93;1,005.3;2,851,080;170.78;16.82;1,015.1;"Detroit, MI
(42.332916, -83.047853)";2006331295
Table 2;2001;4;34524;Richmond, VA;9;170,810;230.55;27.06;852.0;247,320;238.99;28.15;849.0;"Richmond, VA
(37.540759, -77.433932)";2001434524
Table 2;1999;1;31454;Orlando, FL;68;4,423,610;146.40;13.49;1,085.1;4,054,530;147.44;13.63;1,081.7;"Orlando, FL
(28.538331, -81.378879)";1999131454
Table 2;1999;2;31066;Columbus, OH;23;1,034,240;166.48;16.97;980.5;989,610;164.73;16.65;988.9;"Columbus, OH
(39.962649, -82.996216)";1999231066
Table 2;2011;1;33244;Memphis, TN;15;356,050;241.95;27.72;872.8;360,610;229.14;26.28;871.8;"Memphis, TN
(35.143378, -90.052136)";2011133244
Table 2;1998;2;34524;Richmond, VA;10;276,790;207.85;31.60;657.7;244,430;213.59;32.29;661.4;"Richmond, VA
(37.540759, -77.433932)";1998234524
Table 2;2000;1;35096;Syracuse, NY;9;183,630;178.33;21.87;815.1;178,830;165.09;20.04;823.7;"Syracuse, NY
(43.047945, -76.147448)";2000135096
