tbl;Year;quarter;citymarketid;city;markets;cur_passengers;cur_fare;cur_yield;distance;ly_passengers;ly_fare;ly_yield;ly_distance;Geocoded_City;tbl2pk
Table 2;2013;3;30466;Phoenix, AZ;47;3,514,930;210.87;18.71;1,127.0;3,642,060;186.87;16.91;1,104.6;"Phoenix, AZ
(30.406931, -87.217578)";2013330466
Table 2;2011;3;33198;Kansas City, MO;35;1,731,070;180.34;19.22;938.3;1,721,210;174.87;18.70;935.0;"Kansas City, MO
(39.099792, -94.578559)";2011333198
Table 2;2008;4;30140;Albuquerque, NM;23;843,370;179.39;19.67;911.6;912,890;168.16;18.58;905.0;"Albuquerque, NM
(35.084248, -106.649241)";2008430140
Table 2;2014;1;34576;Rochester, NY;9;235,390;189.01;24.47;772.4;260,990;172.80;22.69;761.4;"Rochester, NY
(43.155708, -77.612547)";2014134576
Table 2;1999;4;35096;Syracuse, NY;8;170,950;167.81;23.52;713.3;178,480;159.29;22.52;707.3;"Syracuse, NY
(43.047945, -76.147448)";1999435096
Table 2;2008;2;34492;Raleigh/Durham, NC;30;1,672,990;171.65;19.63;874.2;1,604,340;165.97;18.76;884.4;"Raleigh/Durham, NC
(42.673348, -72.179683)";2008234492
Table 2;2001;3;30693;Nashville, TN;30;1,103,210;141.58;15.90;890.2;1,237,880;155.68;18.22;854.1;"Nashville, TN
(36.166687, -86.779932)";2001330693
Table 2;2014;4;30666;Bellingham, WA;5;147,800;123.43;12.42;993.6;137,520;128.60;13.34;963.7;"Bellingham, WA
(41.698264, -88.077915)";2014430666
Table 2;2004;2;33244;Memphis, TN;17;512,140;205.64;23.03;892.7;471,070;202.28;23.29;868.2;"Memphis, TN
(35.143378, -90.052136)";2004233244
Table 2;2001;4;30436;Tucson, AZ;13;367,100;136.89;13.72;997.6;442,900;150.89;15.82;953.3;"Tucson, AZ
(35.167852, -103.726151)";2001430436
Table 2;2021;1;33316;Omaha, NE;17;249,250;173.65;16.05;1,081.8;447,470;203.02;19.14;1,060.7;;2021133316
Table 2;2014;1;33195;Tampa, FL (Metropolitan Area);51;3,144,630;197.20;18.34;1,074.8;3,118,150;190.67;17.92;1,063.9;"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)";2014133195
Table 2;2007;4;31267;Dayton, OH;13;330,080;163.11;16.37;995.9;345,160;158.61;16.52;960.0;"Dayton, OH
(39.760982, -84.192203)";2007431267
Table 2;2014;1;30994;Charleston, SC;8;247,880;191.55;24.01;797.5;222,570;206.44;26.54;777.7;"Charleston, SC
(32.77647, -79.931027)";2014130994
Table 2;2020;3;31453;Houston, TX;58;1,518,070;160.41;15.17;1,057.4;4,874,560;220.53;21.02;1,049.3;;2020331453
Table 2;2020;4;34262;Palm Springs, CA;7;118,700;178.78;16.96;1,053.9;249,760;228.25;20.50;1,113.7;;2020434262
Table 2;2017;4;30994;Charleston, SC;11;480,080;205.73;25.77;798.4;420,770;202.09;25.03;807.2;"Charleston, SC
(32.77647, -79.931027)";2017430994
Table 2;2020;1;34492;Raleigh/Durham, NC;28;1,364,890;190.56;20.79;916.5;1,675,730;203.69;21.27;957.6;(42.673348, -72.179683);2020134492
Table 2;2000;4;30977;Chicago, IL;67;8,127,900;189.59;20.53;923.2;8,010,170;179.15;19.65;911.5;"Chicago, IL
(41.775002, -87.696388)";2000430977
Table 2;2002;1;31123;St. Louis, MO;39;1,433,840;165.42;19.74;838.0;1,707,790;191.39;23.72;806.8;"St. Louis, MO
(38.630276, -90.200309)";2002131123
Table 2;2015;4;34057;Portland, OR;35;2,476,650;190.32;15.88;1,197.9;2,197,000;201.50;17.10;1,178.0;"Portland, OR
(45.516018, -122.681425)";2015434057
Table 2;2012;4;31123;St. Louis, MO;35;1,817,380;195.40;21.30;917.0;1,827,980;191.83;21.10;909.1;"St. Louis, MO
(38.630276, -90.200309)";2012431123
Table 2;2019;3;31057;Charlotte, NC;37;2,456,980;229.78;26.19;877.3;2,236,200;240.50;26.76;898.8;(35.222936, -80.840161);2019331057
Table 2;2011;4;30158;Atlantic City, NJ;6;182,060;111.23;12.90;861.9;176,640;99.98;11.49;869.6;"Atlantic City, NJ
(33.748547, -84.391502)";2011430158
Table 2;1999;4;31703;New York City, NY (Metropolitan Area);74;11,596,630;212.96;18.85;1,129.4;10,692,160;210.20;18.58;1,131.3;"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)";1999431703
Table 2;2016;2;30994;Charleston, SC;14;543,070;209.91;23.43;896.1;483,610;222.89;25.13;887.0;"Charleston, SC
(32.77647, -79.931027)";2016230994
Table 2;2010;2;30198;Pittsburgh, PA;25;1,296,910;175.44;18.14;967.0;1,347,020;146.98;14.97;981.3;"Pittsburgh, PA
(40.442169, -79.994945)";2010230198
Table 2;2005;3;30194;Dallas/Fort Worth, TX;64;5,212,480;183.53;20.18;909.1;5,052,720;173.51;19.06;910.3;"Dallas/Fort Worth, TX
(40.11086, -77.035636)";2005330194
Table 2;2013;1;31123;St. Louis, MO;32;1,543,290;197.77;21.60;915.4;1,537,100;199.53;21.86;912.4;"St. Louis, MO
(38.630276, -90.200309)";2013131123
Table 2;2021;2;30529;Hartford, CT;18;610,330;196.45;15.21;1,291.5;110,060;172.66;12.81;1,347.6;;2021230529
Table 2;2005;2;33214;San Antonio, TX;31;1,130,530;174.61;17.54;995.0;1,047,100;169.91;16.79;1,011.6;"San Antonio, TX
(29.425173, -98.494599)";2005233214
Table 2;1999;1;31136;Jacksonville, FL;21;621,120;152.68;19.47;784.2;563,110;156.71;20.18;776.6;"Jacksonville, FL
(30.325968, -81.65676)";1999131136
Table 2;2010;3;31267;Dayton, OH;10;270,140;170.02;18.92;898.4;273,330;151.63;16.81;902.0;"Dayton, OH
(39.760982, -84.192203)";2010331267
Table 2;2001;1;30189;Colorado Springs, CO;6;128,440;222.57;23.48;947.6;145,400;203.00;22.70;894.3;"Colorado Springs, CO
(38.835224, -104.819798)";2001130189
Table 2;2011;3;30529;Hartford, CT;22;852,920;214.23;16.22;1,320.8;833,560;210.94;15.82;1,333.2;"Hartford, CT
(41.765775, -72.673356)";2011330529
Table 2;1996;2;30977;Chicago, IL;72;7,297,890;166.66;18.65;893.3;6,647,360;172.43;19.44;887.0;"Chicago, IL
(41.775002, -87.696388)";1996230977
Table 2;2019;4;31453;Houston, TX;55;4,997,350;222.95;21.55;1,034.8;4,833,290;230.02;22.37;1,028.1;;2019431453
Table 2;1996;2;33044;Louisville, KY;20;443,530;134.39;16.87;796.4;435,590;141.43;17.76;796.0;"Louisville, KY
(38.256078, -85.751569)";1996233044
Table 2;2020;2;31453;Houston, TX;60;643,910;196.16;18.14;1,081.4;4,990,570;232.30;22.30;1,041.5;(29.760803, -95.369506);2020231453
Table 2;2020;3;34057;Portland, OR;40;891,920;166.71;12.48;1,335.5;3,187,580;203.15;16.11;1,261.4;;2020334057
Table 2;2001;1;31714;Fort Myers, FL;21;1,156,240;163.16;14.38;1,134.0;1,043,280;164.15;14.57;1,126.5;"Fort Myers, FL
(40.253979, -103.801495)";2001131714
Table 2;2015;4;32457;San Francisco, CA (Metropolitan Area);54;9,916,370;225.24;17.26;1,304.3;9,373,270;230.93;17.81;1,296.4;"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)";2015432457
Table 2;2017;2;31066;Columbus, OH;23;1,196,990;212.73;22.63;940.2;1,184,690;209.16;22.44;931.9;"Columbus, OH
(39.962649, -82.996216)";2017231066
Table 2;2003;4;34057;Portland, OR;34;1,823,810;151.60;13.04;1,161.9;1,804,890;146.28;12.71;1,150.5;"Portland, OR
(45.516018, -122.681425)";2003434057
Table 2;2013;2;30257;Albany, NY;9;258,090;221.23;18.49;1,196.4;266,320;222.06;18.84;1,178.7;"Albany, NY
(42.651242, -73.755418)";2013230257
Table 2;2014;2;31066;Columbus, OH;22;1,030,670;235.96;25.27;933.7;1,010,260;220.63;24.04;917.5;"Columbus, OH
(39.962649, -82.996216)";2014231066
Table 2;2019;1;31884;Spokane, WA;10;419,050;165.16;24.91;663.0;402,210;161.74;23.91;676.4;;2019131884
Table 2;2012;4;32457;San Francisco, CA (Metropolitan Area);57;8,633,480;222.46;17.20;1,293.2;8,479,760;212.63;16.79;1,266.4;"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)";2012432457
Table 2;2016;4;34100;Philadelphia, PA;42;3,373,240;215.85;18.48;1,168.1;3,427,510;213.08;18.30;1,164.2;"Philadelphia, PA
(39.951061, -75.16562)";2016434100
Table 2;2010;1;32467;Miami, FL (Metropolitan Area);62;5,859,510;180.07;14.71;1,224.0;5,564,880;169.95;14.00;1,213.3;"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)";2010132467
Table 2;2019;1;34057;Portland, OR;34;2,349,930;186.59;16.32;1,143.2;2,312,240;178.58;15.65;1,140.8;;2019134057
Table 2;2007;2;31423;Des Moines, IA;6;133,150;203.82;18.17;1,121.5;133,480;207.37;19.19;1,080.5;"Des Moines, IA
(41.588822, -93.620309)";2007231423
Table 2;2009;4;33044;Louisville, KY;14;369,100;182.56;19.08;956.7;390,450;184.24;19.44;947.3;"Louisville, KY
(38.256078, -85.751569)";2009433044
Table 2;2006;3;30257;Albany, NY;11;344,550;171.26;14.43;1,186.8;362,770;144.56;11.96;1,207.8;"Albany, NY
(42.651242, -73.755418)";2006330257
Table 2;2003;4;30397;Atlanta, GA (Metropolitan Area);64;5,336,830;153.25;17.86;857.7;4,964,760;161.34;19.85;812.4;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";2003430397
Table 2;1997;1;30423;Austin, TX;28;862,180;140.15;16.64;841.8;758,380;148.33;17.86;830.5;"Austin, TX
(30.264979, -97.746598)";1997130423
Table 2;2006;3;30559;Seattle, WA;47;4,249,550;198.52;13.87;1,430.9;4,255,790;179.95;12.60;1,428.1;"Seattle, WA
(47.603229, -122.33028)";2006330559
Table 2;1998;3;31123;St. Louis, MO;42;1,951,300;173.30;21.04;823.3;1,816,570;160.88;19.52;824.0;"St. Louis, MO
(38.630276, -90.200309)";1998331123
Table 2;2007;2;31650;Minneapolis/St. Paul, MN;40;3,111,580;193.88;18.55;1,045.0;3,056,730;202.93;19.61;1,034.8;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";2007231650
Table 2;2007;1;34524;Richmond, VA;9;269,360;166.69;21.08;790.5;244,990;194.56;24.13;806.1;"Richmond, VA
(37.540759, -77.433932)";2007134524
Table 2;1998;2;30397;Atlanta, GA (Metropolitan Area);68;5,402,900;174.31;21.75;801.2;4,963,200;174.44;21.37;816.0;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";1998230397
Table 2;2011;3;31714;Fort Myers, FL;19;777,240;160.47;14.85;1,080.0;795,840;136.84;12.70;1,077.2;"Fort Myers, FL
(40.253979, -103.801495)";2011331714
Table 2;1996;2;34570;Reno, NV;17;545,470;95.86;13.12;730.4;562,110;101.47;14.07;720.8;"Reno, NV
(30.177159, -95.162771)";1996234570
Table 2;2011;4;31871;Greenville/Spartanburg, SC;6;132,190;202.39;31.24;647.7;78,090;233.87;35.39;660.8;"Greenville/Spartanburg, SC
(44.513288, -88.013256)";2011431871
Table 2;2020;1;33244;Memphis, TN;14;387,580;211.24;24.54;860.7;457,730;223.67;25.89;864.1;(35.143378, -90.052136);2020133244
Table 2;2005;1;31995;Greensboro/High Point, NC;10;228,760;155.50;24.71;629.2;225,220;170.72;26.24;650.5;"Greensboro/High Point, NC
(36.072701, -79.793899)";2005131995
Table 2;2004;4;34570;Reno, NV;14;627,880;110.48;16.35;675.4;624,900;110.25;16.55;666.0;"Reno, NV
(30.177159, -95.162771)";2004434570
Table 2;2016;3;30599;Birmingham, AL;8;224,110;238.06;30.85;771.7;249,940;224.40;29.20;768.5;"Birmingham, AL
(33.522859, -86.807705)";2016330599
Table 2;2007;3;33495;New Orleans, LA;20;1,030,510;163.50;17.91;912.9;947,500;157.35;17.23;913.0;"New Orleans, LA
(29.950621, -90.074948)";2007333495
Table 2;1999;3;30140;Albuquerque, NM;26;919,820;146.14;15.31;954.4;934,770;143.50;15.00;956.2;"Albuquerque, NM
(35.084248, -106.649241)";1999330140
Table 2;2006;1;30647;Cleveland, OH (Metropolitan Area);30;1,549,850;161.66;17.12;943.9;1,388,180;160.80;17.04;943.6;"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)";2006130647
Table 2;2011;2;34492;Raleigh/Durham, NC;29;1,523,420;189.89;21.35;889.3;1,509,740;172.60;19.40;889.3;"Raleigh/Durham, NC
(42.673348, -72.179683)";2011234492
Table 2;2002;3;31057;Charlotte, NC;26;834,760;223.96;23.70;944.8;710,550;248.78;28.97;858.7;"Charlotte, NC
(35.222936, -80.840161)";2002331057
Table 2;2013;2;33342;Milwaukee, WI;25;1,108,690;191.07;17.90;1,067.4;1,230,930;182.77;17.05;1,072.0;"Milwaukee, WI
(43.041072, -87.909421)";2013233342
Table 2;2000;4;30599;Birmingham, AL;15;386,540;148.60;18.88;787.0;371,520;143.27;17.63;812.5;"Birmingham, AL
(33.522859, -86.807705)";2000430599
Table 2;2018;4;30693;Nashville, TN;36;2,414,610;207.66;23.16;896.7;2,176,720;211.68;23.71;892.8;;2018430693
Table 2;2018;2;31650;Minneapolis/St. Paul, MN;40;3,786,440;208.92;19.81;1,054.7;3,647,320;211.80;20.32;1,042.4;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";2018231650
Table 2;2004;3;30194;Dallas/Fort Worth, TX;64;5,054,020;173.61;19.03;912.1;4,281,620;188.88;21.22;890.0;"Dallas/Fort Worth, TX
(40.11086, -77.035636)";2004330194
Table 2;2007;3;34986;Sarasota/Bradenton, FL;4;108,580;140.22;15.57;900.1;94,880;142.78;16.51;864.7;"Sarasota/Bradenton, FL
(27.336483, -82.538602)";2007334986
Table 2;2000;1;30792;Buffalo, NY;15;403,990;158.71;19.37;819.2;374,700;165.09;19.46;848.0;"Buffalo, NY
(39.945422, -78.64671)";2000130792
Table 2;2008;3;34685;Savannah, GA;6;149,090;192.51;27.10;710.4;156,720;168.67;24.36;692.3;"Savannah, GA
(40.115007, -111.654713)";2008334685
Table 2;2014;2;32457;San Francisco, CA (Metropolitan Area);56;9,552,790;233.13;17.50;1,332.0;9,081,620;227.94;17.09;1,333.6;"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)";2014232457
Table 2;2008;4;32448;Jackson/Vicksburg, MS;5;106,060;165.52;26.49;624.8;103,080;154.53;24.47;631.4;"Jackson/Vicksburg, MS
(30.325968, -81.65676)";2008432448
Table 2;2010;2;34100;Philadelphia, PA;43;3,274,010;196.71;17.01;1,156.0;3,506,260;163.22;14.23;1,146.5;"Philadelphia, PA
(39.951061, -75.16562)";2010234100
Table 2;2005;1;34986;Sarasota/Bradenton, FL;8;173,870;150.99;15.90;949.2;145,160;166.69;16.76;994.4;"Sarasota/Bradenton, FL
(27.336483, -82.538602)";2005134986
Table 2;2009;4;34524;Richmond, VA;12;374,660;163.06;18.92;861.6;395,050;161.16;19.27;836.1;"Richmond, VA
(37.540759, -77.433932)";2009434524
Table 2;2004;3;33570;San Diego, CA;41;2,963,230;152.02;11.98;1,268.8;2,785,420;153.50;12.20;1,258.0;"San Diego, CA
(32.71576, -117.163817)";2004333570
Table 2;2017;3;34027;West Palm Beach/Palm Beach, FL;9;685,730;173.35;17.25;1,005.1;698,870;178.46;17.65;1,011.0;"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)";2017334027
Table 2;2013;1;33316;Omaha, NE;16;493,570;196.08;19.54;1,003.1;503,950;194.92;19.76;986.4;"Omaha, NE
(46.07035, -93.666319)";2013133316
Table 2;2006;1;31295;Detroit, MI;41;2,740,580;182.99;18.06;1,013.1;2,688,100;166.12;16.40;1,012.9;"Detroit, MI
(42.332916, -83.047853)";2006131295
Table 2;2002;1;30792;Buffalo, NY;14;517,080;122.08;12.27;994.8;550,450;123.43;13.42;919.4;"Buffalo, NY
(39.945422, -78.64671)";2002130792
Table 2;2017;3;33316;Omaha, NE;17;605,870;196.71;19.46;1,010.8;568,390;209.92;21.00;999.5;"Omaha, NE
(46.07035, -93.666319)";2017333316
Table 2;2016;4;33667;Norfolk, VA (Metropolitan Area);14;366,750;249.45;20.71;1,204.5;358,770;247.83;19.97;1,240.9;"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)";2016433667
Table 2;1999;2;30559;Seattle, WA;46;3,382,990;173.77;12.97;1,339.1;3,214,010;166.19;12.54;1,325.2;"Seattle, WA
(47.603229, -122.33028)";1999230559
Table 2;2003;3;33214;San Antonio, TX;29;872,960;165.62;16.69;991.9;897,350;160.17;16.16;990.8;"San Antonio, TX
(29.425173, -98.494599)";2003333214
Table 2;2001;3;30977;Chicago, IL;67;7,409,920;165.38;17.69;934.7;8,375,830;194.81;21.35;912.1;"Chicago, IL
(41.775002, -87.696388)";2001330977
Table 2;2012;2;30423;Austin, TX;32;1,531,610;220.58;19.44;1,134.3;1,468,310;211.79;18.87;1,122.0;"Austin, TX
(30.264979, -97.746598)";2012230423
Table 2;2019;4;35096;Syracuse, NY;7;193,800;185.97;25.21;737.8;188,720;195.20;26.05;749.2;;2019435096
Table 2;2009;3;30140;Albuquerque, NM;22;886,130;161.38;17.04;946.8;888,200;181.15;19.52;927.9;"Albuquerque, NM
(35.084248, -106.649241)";2009330140
Table 2;2009;3;33244;Memphis, TN;17;470,480;205.00;21.64;947.3;509,720;229.31;24.23;946.2;"Memphis, TN
(35.143378, -90.052136)";2009333244
Table 2;2017;3;30994;Charleston, SC;13;497,240;204.77;22.81;897.7;494,260;195.53;21.85;895.0;"Charleston, SC
(32.77647, -79.931027)";2017330994
Table 2;2007;2;31136;Jacksonville, FL;25;1,061,360;160.73;16.98;946.4;990,750;173.35;18.17;953.8;"Jacksonville, FL
(30.325968, -81.65676)";2007231136
Table 2;2007;1;33214;San Antonio, TX;30;1,084,100;176.11;18.30;962.2;1,117,340;167.31;17.32;965.6;"San Antonio, TX
(29.425173, -98.494599)";2007133214
Table 2;1999;3;30852;Washington, DC (Metropolitan Area);69;7,141,410;178.02;17.57;1,012.8;6,445,080;184.73;17.81;1,036.9;"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)";1999330852
Table 2;2009;1;34986;Sarasota/Bradenton, FL;7;203,450;150.18;15.28;982.6;252,830;158.04;16.29;970.2;"Sarasota/Bradenton, FL
(27.336483, -82.538602)";2009134986
Table 2;2020;4;31650;Minneapolis/St. Paul, MN;42;1,176,920;157.46;13.56;1,161.2;3,791,980;204.19;19.26;1,060.1;;2020431650
Table 2;2002;3;32600;Little Rock, AR;8;194,760;134.04;19.36;692.3;212,680;126.46;17.77;711.6;"Little Rock, AR
(34.748745, -92.275105)";2002332600
Table 2;2005;3;31057;Charlotte, NC;28;1,177,630;192.25;22.30;862.0;980,230;217.90;22.87;952.6;"Charlotte, NC
(35.222936, -80.840161)";2005331057
Table 2;2006;2;34492;Raleigh/Durham, NC;30;1,571,180;185.97;20.16;922.1;1,515,880;150.73;16.55;910.5;"Raleigh/Durham, NC
(42.673348, -72.179683)";2006234492
Table 2;2017;4;32575;Los Angeles, CA (Metropolitan Area);68;13,752,720;209.28;15.95;1,311.7;13,203,840;208.52;15.83;1,317.7;"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)";2017432575
Table 2;2015;1;30666;Bellingham, WA;5;133,210;120.93;11.97;1,010.2;164,660;126.28;12.58;1,003.3;"Bellingham, WA
(41.698264, -88.077915)";2015130666
Table 2;2017;4;34492;Raleigh/Durham, NC;29;1,917,770;205.54;22.36;919.2;1,781,530;201.58;22.55;893.9;"Raleigh/Durham, NC
(42.673348, -72.179683)";2017434492
Table 2;2018;3;34524;Richmond, VA;12;447,720;221.57;22.74;974.4;405,710;228.42;23.26;982.2;;2018334524
Table 2;1997;3;31123;St. Louis, MO;42;1,816,560;160.00;19.50;820.4;1,776,970;153.81;18.32;839.2;"St. Louis, MO
(38.630276, -90.200309)";1997331123
Table 2;1999;2;33214;San Antonio, TX;29;1,066,130;151.83;16.56;916.7;1,067,010;141.39;15.55;909.1;"San Antonio, TX
(29.425173, -98.494599)";1999233214
Table 2;2001;4;31123;St. Louis, MO;43;1,643,470;163.42;18.60;878.5;2,009,880;186.22;22.79;816.8;"St. Louis, MO
(38.630276, -90.200309)";2001431123
Table 2;2016;1;33105;Cincinnati, OH;21;702,540;243.38;25.67;948.0;634,390;263.13;27.10;970.8;"Cincinnati, OH
(39.104427, -84.513808)";2016133105
Table 2;2010;1;34524;Richmond, VA;9;275,520;165.28;20.27;815.1;293,020;143.37;18.41;778.7;"Richmond, VA
(37.540759, -77.433932)";2010134524
Table 2;2000;3;30397;Atlanta, GA (Metropolitan Area);69;5,991,820;181.24;22.71;798.0;5,680,390;169.12;21.35;792.0;"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)";2000330397
Table 2;2021;1;30599;Birmingham, AL;11;122,410;179.09;21.04;851.0;224,030;233.39;27.90;836.5;;2021130599
Table 2;2013;3;30198;Pittsburgh, PA;23;1,118,160;228.45;22.12;1,032.7;1,232,530;200.53;19.91;1,007.1;"Pittsburgh, PA
(40.442169, -79.994945)";2013330198
Table 2;1999;3;30994;Charleston, SC;5;107,180;190.57;29.58;644.2;118,360;169.90;26.26;647.0;"Charleston, SC
(32.77647, -79.931027)";1999330994
Table 2;2002;1;32211;Las Vegas, NV;58;4,546,080;132.11;10.63;1,242.4;5,205,050;137.05;11.64;1,176.6;"Las Vegas, NV
(36.169202, -115.140597)";2002132211
Table 2;2004;2;32206;Harlingen/San Benito, TX;4;100,880;101.76;28.90;352.0;101,560;100.25;28.98;345.9;"Harlingen/San Benito, TX
(40.8078, -73.945801)";2004232206
Table 2;2021;3;33214;San Antonio, TX;28;1,033,110;207.48;17.67;1,174.1;379,250;168.44;14.24;1,182.8;;2021333214
Table 2;2020;4;32467;Miami, FL (Metropolitan Area);57;3,044,840;149.87;11.77;1,272.9;7,347,200;206.65;17.11;1,207.6;;2020432467
Table 2;2013;1;30466;Phoenix, AZ;60;4,597,000;199.48;17.77;1,122.0;4,623,270;191.77;17.08;1,122.1;"Phoenix, AZ
(30.406931, -87.217578)";2013130466
Table 2;2008;1;32575;Los Angeles, CA (Metropolitan Area);65;10,408,330;183.60;15.16;1,210.7;10,594,770;172.50;14.33;1,203.5;"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)";2008132575
Table 2;2011;3;30599;Birmingham, AL;11;281,240;213.24;24.85;858.1;288,200;191.39;22.60;846.6;"Birmingham, AL
(33.522859, -86.807705)";2011330599
Table 2;2007;3;30158;Atlantic City, NJ;6;191,480;116.90;11.79;991.3;158,660;122.85;14.55;844.1;"Atlantic City, NJ
(33.748547, -84.391502)";2007330158
Table 2;2015;3;33044;Louisville, KY;16;409,880;237.41;24.99;949.7;432,120;234.77;25.74;912.0;"Louisville, KY
(38.256078, -85.751569)";2015333044
Table 2;2019;2;34986;Sarasota/Bradenton, FL;5;141,110;219.47;22.69;967.2;107,110;232.04;23.83;973.9;(27.336483, -82.538602);2019234986
Table 2;1998;1;33044;Louisville, KY;17;403,080;150.38;18.48;813.4;354,620;139.02;17.01;817.1;"Louisville, KY
(38.256078, -85.751569)";1998133044
Table 2;1997;3;32575;Los Angeles, CA (Metropolitan Area);67;9,430,820;169.30;13.54;1,250.1;8,683,400;165.98;13.28;1,249.0;"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)";1997332575
Table 2;2015;4;30466;Phoenix, AZ;55;4,918,420;201.72;17.34;1,163.2;4,675,310;205.80;17.96;1,145.8;"Phoenix, AZ
(30.406931, -87.217578)";2015430466
Table 2;2016;3;31295;Detroit, MI;35;2,919,590;208.63;19.74;1,056.9;2,813,330;225.39;21.21;1,062.4;"Detroit, MI
(42.332916, -83.047853)";2016331295
Table 2;2000;2;31136;Jacksonville, FL;24;845,950;147.34;17.46;843.5;783,480;148.43;17.40;852.6;"Jacksonville, FL
(30.325968, -81.65676)";2000231136
Table 2;2009;1;31884;Spokane, WA;11;374,280;131.70;21.21;620.9;437,490;121.09;21.31;568.1;"Spokane, WA
(47.658999, -117.425022)";2009131884
Table 2;2003;4;33570;San Diego, CA;44;2,718,060;159.36;12.53;1,270.9;2,517,190;156.29;12.66;1,233.7;"San Diego, CA
(32.71576, -117.163817)";2003433570
Table 2;2008;4;30158;Atlantic City, NJ;5;156,740;105.08;12.19;861.4;167,120;120.51;13.95;863.6;"Atlantic City, NJ
(33.748547, -84.391502)";2008430158
Table 2;2018;3;31986;Grand Rapids, MI;13;335,890;223.06;20.42;1,092.4;292,910;231.90;20.59;1,126.2;;2018331986
Table 2;1998;2;30466;Phoenix, AZ;51;3,528,500;151.89;13.43;1,130.7;3,405,700;144.91;12.94;1,119.7;"Phoenix, AZ
(30.406931, -87.217578)";1998230466
Table 2;2007;4;32457;San Francisco, CA (Metropolitan Area);57;8,482,930;184.00;14.75;1,247.5;8,526,610;180.42;14.66;1,230.0;"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)";2007432457
Table 2;2008;4;31135;Myrtle Beach, SC;3;101,060;109.09;17.98;606.7;122,930;117.21;19.19;610.7;"Myrtle Beach, SC
(33.68785, -78.883852)";2008431135
Table 2;2012;1;33244;Memphis, TN;13;311,140;275.23;31.16;883.2;330,690;238.19;26.70;891.9;"Memphis, TN
(35.143378, -90.052136)";2012133244
Table 2;2020;3;31066;Columbus, OH;24;359,150;157.32;13.56;1,159.8;1,258,550;216.00;21.67;996.6;;2020331066
Table 2;1996;4;32211;Las Vegas, NV;54;3,197,120;113.56;9.75;1,163.8;2,490,500;119.55;10.75;1,111.4;"Las Vegas, NV
(36.169202, -115.140597)";1996432211
Table 2;2019;2;34576;Rochester, NY;6;200,660;190.31;31.85;597.5;198,810;187.02;30.62;610.7;(43.155708, -77.612547);2019234576
Table 2;2000;2;33570;San Diego, CA;43;2,798,610;168.54;14.27;1,180.4;2,583,230;161.22;13.75;1,171.7;"San Diego, CA
(32.71576, -117.163817)";2000233570
Table 2;2008;3;30615;El Paso, TX;14;445,610;174.44;21.35;817.0;453,650;159.06;19.76;804.6;"El Paso, TX
(31.76006, -106.492257)";2008330615
Table 2;2010;1;31267;Dayton, OH;11;247,880;167.74;18.22;920.3;301,820;153.76;16.16;951.4;"Dayton, OH
(39.760982, -84.192203)";2010131267
Table 2;2018;4;34685;Savannah, GA;4;192,840;184.65;24.85;743.1;179,110;188.61;25.01;754.0;;2018434685
Table 2;2010;2;34027;West Palm Beach/Palm Beach, FL;14;918,490;167.76;16.05;1,045.0;1,028,140;154.18;14.68;1,049.8;"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)";2010234027
Table 2;1998;1;30647;Cleveland, OH (Metropolitan Area);31;1,326,280;170.08;19.76;860.7;1,220,420;173.19;19.13;905.2;"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)";1998130647
Table 2;1996;3;30559;Seattle, WA;47;3,295,980;146.85;11.22;1,308.5;2,827,760;161.10;12.47;1,290.9;"Seattle, WA
(47.603229, -122.33028)";1996330559
Table 2;2001;1;31057;Charlotte, NC;28;758,390;291.68;37.79;771.8;837,810;273.43;35.21;776.5;"Charlotte, NC
(35.222936, -80.840161)";2001131057
Table 2;1999;4;31986;Grand Rapids, MI;7;110,870;197.24;20.29;972.0;111,220;192.41;19.58;982.4;"Grand Rapids, MI
(47.925705, -97.036068)";1999431986
Table 2;2006;3;32896;Lubbock, TX;3;124,450;101.50;28.82;352.1;113,980;97.39;26.79;363.5;"Lubbock, TX
(41.181125, -96.030508)";2006332896
