tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 4;2,021;2;32,467;31,650;Miami, FL (Metropolitan Area);Minneapolis/St. Paul, MN;101,280;137.96;188.32;11,020;-50.36;-0.2674;90,260;8.1906;;
Table 4;2,021;2;32,467;31,703;Miami, FL (Metropolitan Area);New York City, NY (Metropolitan Area);1,339,470;149.76;203.60;130,020;-53.84;-0.2644;1,209,450;9.3020;;
Table 4;2,021;2;32,575;30,559;Los Angeles, CA (Metropolitan Area);Seattle, WA;466,290;131.54;170.05;84,500;-38.51;-0.2265;381,790;4.5182;;
Table 4;2,021;2;32,575;31,454;Los Angeles, CA (Metropolitan Area);Orlando, FL;232,390;182.07;232.03;27,010;-49.96;-0.2153;205,380;7.6038;;
Table 4;2,021;2;33,264;30,559;Medford, OR;Seattle, WA;14,070;109.88;141.15;2,610;-31.27;-0.2215;11,460;4.3908;;
Table 4;2,021;2;34,057;34,570;Portland, OR;Reno, NV;20,160;131.46;181.42;1,800;-49.97;-0.2754;18,360;10.2000;;
Table 4;2,021;2;34,100;34,685;Philadelphia, PA;Savannah, GA;20,750;168.66;250.63;2,210;-81.97;-0.3271;18,540;8.3891;;
Table 4;2,021;2;34,262;30,559;Palm Springs, CA;Seattle, WA;74,600;152.79;245.26;7,430;-92.47;-0.3770;67,170;9.0404;;
Table 4;2,021;2;34,614;30,559;Salt Lake City, UT;Seattle, WA;95,970;137.53;200.60;15,410;-63.07;-0.3144;80,560;5.2278;;
Table 4;2,021;1;30,194;30,255;Dallas/Fort Worth, TX;Huntsville, AL;7,600;187.24;301.74;10,660;-114.50;-0.3795;-3,060;-0.2870;;
Table 4;2,021;1;30,194;31,295;Dallas/Fort Worth, TX;Detroit, MI;57,420;125.55;207.44;88,560;-81.89;-0.3948;-31,140;-0.3516;;
Table 4;2,021;1;30,194;31,423;Dallas/Fort Worth, TX;Des Moines, IA;10,060;171.10;274.10;16,510;-103.00;-0.3758;-6,450;-0.3907;;
Table 4;2,021;1;30,194;31,703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);107,700;140.97;244.68;357,910;-103.72;-0.4239;-250,210;-0.6991;;
Table 4;2,021;1;30,194;32,467;Dallas/Fort Worth, TX;Miami, FL (Metropolitan Area);136,550;153.79;236.90;174,820;-83.12;-0.3508;-38,270;-0.2189;;
Table 4;2,021;1;30,194;33,256;Dallas/Fort Worth, TX;Mission/McAllen/Edinburg, TX;10,950;147.23;269.56;14,800;-122.33;-0.4538;-3,850;-0.2601;;
Table 4;2,021;1;30,194;33,502;Dallas/Fort Worth, TX;Montrose/Delta, CO;10,760;191.30;329.69;5,900;-138.39;-0.4198;4,860;0.8237;;
Table 4;2,021;1;30,194;34,699;Dallas/Fort Worth, TX;Steamboat Springs, CO;9,510;187.28;326.97;7,100;-139.69;-0.4272;2,410;0.3394;;
Table 4;2,021;1;30,325;30,928;Denver, CO;Wichita, KS;7,540;126.85;222.13;8,900;-95.28;-0.4289;-1,360;-0.1528;;
Table 4;2,021;1;30,397;31,057;Atlanta, GA (Metropolitan Area);Charlotte, NC;12,440;164.89;259.86;36,780;-94.97;-0.3655;-24,340;-0.6618;;
Table 4;2,021;1;30,397;31,650;Atlanta, GA (Metropolitan Area);Minneapolis/St. Paul, MN;40,190;166.39;274.29;70,810;-107.91;-0.3934;-30,620;-0.4324;;
Table 4;2,021;1;30,397;32,211;Atlanta, GA (Metropolitan Area);Las Vegas, NV;133,540;134.68;244.69;138,190;-110.01;-0.4496;-4,650;-0.0336;;
Table 4;2,021;1;30,397;33,044;Atlanta, GA (Metropolitan Area);Louisville, KY;12,790;156.23;248.38;21,290;-92.15;-0.3710;-8,500;-0.3992;;
