Year,quarter,citymarketid,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHPax,SHAvgHubFare,SHPerPrem,LHPax,LHAvgHubFare,LHPerPrem
2022,3,31637,137560,0.6504,275.12,0.0258,36090,225.01,0.17110000000000003,101470,292.95,-0.007899999999999999
2022,3,31638,353060,0.6901,268.47,-0.0275,160780,187.29,0.0262,192280,336.36,-0.05070000000000001
2022,3,31641,20140,0.0,278.84,0.1126,10690,230.2,0.19379999999999997,9450,333.86,0.0566
2022,3,31648,229100,0.2944,350.19,0.2309,22570,256.08,0.4795,206530,360.47,0.215
2022,3,31695,8800,0.0,286.04,0.5176,6490,274.12,0.5918,2310,319.53,0.3645
2022,3,32467,3793930,0.9697,192.65,-0.1643,594690,155.41,-0.2007,3199240,199.58,-0.1588
2022,3,31775,179810,0.5956,241.54,-0.0978,51810,215.94,-0.0726,128000,251.91,-0.1062
2022,3,31823,100550,0.4713,234.29,-0.1176,33160,261.37,0.18220000000000003,67390,220.97,-0.2311
2022,3,31884,763190,0.6986,249.31,-0.0384,246950,170.91,-0.023900000000000032,516240,286.81,-0.04239999999999999
2022,3,31921,43270,0.2057,299.66,0.0792,22640,234.75,-0.023800000000000043,20630,370.9,0.1645
2022,3,31953,48690,0.0,287.13,0.1004,19070,243.13,0.5364,29620,315.46,-0.0354
2022,3,31973,38990,0.0,282.32,0.1429,20530,257.81,0.2859,18460,309.58,0.03610000000000001
2022,3,31977,77040,0.3514,345.08,0.3108,17110,321.25,1.0694,59930,351.88,0.1965
2022,3,31986,636930,0.7941,254.34,0.0066,233970,245.64,0.1301,402960,259.39,-0.0504
2022,3,31995,253220,0.1373,276.84,0.1158,174140,233.82,0.15449999999999997,79080,371.59,0.0664
2022,3,31871,362420,0.5024,284.96,0.1656,220320,239.86,0.11409999999999998,142100,354.88,0.225
2022,3,31895,22850,0.2236,281.91,0.1952,11220,254.84,0.4041,11630,308.02,0.06829999999999999
2022,3,34699,15400,0.8792,298.0,0.2821,3360,156.05,-0.02969999999999995,12040,337.61,0.3375
2022,3,32124,27280,0.099,251.69,0.1601,20970,248.05,0.19269999999999998,6310,263.8,0.06889999999999999
2022,3,32156,9910,0.0,258.8,0.0494,7790,228.11,-0.016700000000000048,2120,371.54,0.23699999999999996
2022,3,31453,1655900,0.9798,197.1,-0.089,571020,175.45,-0.05830000000000002,1084880,208.5,-0.102
2022,3,31703,421620,0.5725,220.81,0.0806,71160,241.52,0.3772,350460,216.6,0.0304
2022,3,32206,134100,0.8968,214.97,-0.096,70230,158.83,-0.1391,63870,276.7,-0.0664
2022,3,30255,189850,0.1472,331.41,0.3483,110280,292.66,0.4928,79570,385.12,0.2236
2022,3,30852,1718680,0.2967,294.22,0.1709,575680,194.69,0.2012,1143000,344.34,0.1626
2022,3,31453,3872160,0.7892,240.72,0.0529,669850,205.12,0.1255,3202310,248.16,0.0413
2022,3,30928,266780,0.7508,249.61,0.005,89070,224.52,0.08960000000000001,177710,262.19,-0.027399999999999997
2022,3,32280,78170,0.4078,236.44,-0.0697,56480,182.67,-0.18610000000000004,21690,376.47,0.1353
2022,3,32323,197980,0.1336,280.98,0.1306,129680,229.97,0.11530000000000001,68300,377.82,0.1488
2022,3,31703,236160,0.9918,168.34,-0.1694,54740,159.17,-0.0887,181420,171.11,-0.1895
2022,3,32441,232940,0.0306,408.53,0.3537,45910,287.91,0.189,187030,438.13,0.3846
2022,3,32448,206830,0.8013,260.05,-0.0155,112370,217.48,-0.05569999999999997,94460,310.68,0.0207
2022,3,31136,1204320,0.8164,234.96,0.0054,412090,204.9,0.042700000000000016,792230,250.6,-0.0097
2022,3,31703,4572900,0.9612,282.49,0.0361,644230,189.62,0.2817,3928670,297.72,0.0158
2022,3,32896,147620,0.905,216.33,-0.0561,94320,179.2,-0.06410000000000005,53300,282.03,-0.0469
2022,3,32945,170880,0.2244,288.02,0.139,94110,234.64,0.12880000000000003,76770,353.45,0.1474
2022,3,32951,40230,0.0,316.34,0.2176,21580,277.52,0.4083,18650,361.27,0.0867
2022,3,31703,5728020,0.8053,206.16,0.0126,1452710,198.66,0.2664,4275310,208.71,-0.04909999999999999
2022,3,32600,347020,0.8559,259.05,0.0114,154550,220.45,-0.009700000000000042,192470,290.04,0.0247
2022,3,33038,19630,0.3897,234.65,-0.0171,7040,266.31,1.0214,12590,216.95,-0.2733
2022,3,33158,213630,0.7666,233.45,0.0658,145580,200.74,0.10020000000000001,68050,303.42,0.0205
2022,3,33198,1879130,0.9101,235.82,0.0225,704790,212.72,0.036900000000000044,1174340,249.68,0.0153
2022,3,31454,7349110,0.9548,197.13,-0.1381,972200,164.25,-0.12670000000000003,6376910,202.15,-0.1394
2022,3,32070,203260,0.3843,262.53,-0.0012,79860,248.65,0.2224,123400,271.5,-0.0988
2022,3,30977,2726340,0.9975,185.51,-0.101,968390,164.45,-0.0383,1757950,197.11,-0.1272
2022,3,33244,816940,0.7829,242.15,0.007,398570,217.43,-0.0030999999999999917,418370,265.7,0.0151
2022,3,33256,142930,0.3512,301.36,0.0749,26300,278.96,0.3336,116630,306.42,0.0337
2022,3,33264,155400,0.29,234.46,-0.1195,95630,164.17,-0.20679999999999998,59770,346.94,-0.03939999999999999
2022,3,33277,18400,0.0,339.78,0.3062,10440,321.72,0.4663,7960,363.48,0.1592
2022,3,30721,303970,0.8467,224.77,-0.0201,89750,208.69,0.10620000000000002,214220,231.5,-0.0606
2022,3,32467,3725170,0.8834,228.61,-0.043,555980,204.41,0.07979999999999998,3169190,232.85,-0.059399999999999994
2022,3,33342,1054720,0.8631,256.43,0.0705,301530,240.85,0.08879999999999999,753190,262.67,0.0639
2022,3,33360,25760,0.1219,240.93,-0.0325,12300,239.97,0.11859999999999998,13460,241.81,-0.1381
2022,3,33367,58950,0.321,250.07,-0.0498,17240,290.57,0.3477,41710,233.33,-0.175
2022,3,30562,48160,0.0,329.34,0.2914,19170,282.06,0.8064,28990,360.6,0.1254
2022,3,34922,64980,0.0737,303.9,0.218,40520,217.41,0.195,24460,447.17,0.2371
