Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax
"2,024",3,"30,140","30,559","Albuquerque, NM","Seattle, WA",40350,242.54,202.85,43080,39.7,0.1957,-2730,-0.0634
"2,024",3,"30,189","30,466","Colorado Springs, CO","Phoenix, AZ",27420,199.19,163.7,30340,35.49,0.2168,-2920,-0.0962
"2,024",3,"30,189","32,211","Colorado Springs, CO","Las Vegas, NV",25580,183.86,147.67,31290,36.19,0.2451,-5710,-0.1825
"2,024",3,"30,325","31,136","Denver, CO","Jacksonville, FL",36510,282.44,238.69,41900,43.75,0.1833,-5390,-0.1286
"2,024",3,"30,397","30,647","Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",82370,214.5,147.08,94320,67.42,0.4584,-11950,-0.1267
"2,024",3,"30,397","30,693","Atlanta, GA (Metropolitan Area)","Nashville, TN",38980,262.19,216.49,40240,45.7,0.2111,-1260,-0.0313
"2,024",3,"30,397","31,057","Atlanta, GA (Metropolitan Area)","Charlotte, NC",33250,319.5,248.35,36950,71.14,0.2865,-3700,-0.1001
"2,024",3,"30,397","32,337","Atlanta, GA (Metropolitan Area)","Indianapolis, IN",62720,237.18,198.02,67200,39.16,0.1978,-4480,-0.0667
"2,024",3,"30,397","33,244","Atlanta, GA (Metropolitan Area)","Memphis, TN",39010,241.23,202.56,41110,38.67,0.1909,-2100,-0.0511
"2,024",3,"30,397","34,027","Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",51360,245.4,177.11,65290,68.29,0.3856,-13930,-0.2134
"2,024",3,"30,397","34,524","Atlanta, GA (Metropolitan Area)","Richmond, VA",52630,236.5,199.37,58400,37.13,0.1862,-5770,-0.0988
"2,024",3,"30,423","30,194","Austin, TX","Dallas/Fort Worth, TX",56280,208.96,167.24,66200,41.72,0.2494,-9920,-0.1498
"2,024",3,"30,423","30,615","Austin, TX","El Paso, TX",34310,211.04,171.98,40780,39.06,0.2271,-6470,-0.1587
"2,024",3,"30,423","30,721","Austin, TX","Boston, MA (Metropolitan Area)",113160,246.9,210.4,126340,36.51,0.1735,-13180,-0.1043
"2,024",3,"30,423","31,295","Austin, TX","Detroit, MI",49650,309.87,204.59,58230,105.28,0.5146,-8580,-0.1474
"2,024",3,"30,423","32,337","Austin, TX","Indianapolis, IN",32010,230.04,191.31,36610,38.73,0.2025,-4600,-0.1256
"2,024",3,"30,423","32,575","Austin, TX","Los Angeles, CA (Metropolitan Area)",236010,229.36,185.68,269780,43.67,0.2352,-33770,-0.1252
"2,024",3,"30,423","33,198","Austin, TX","Kansas City, MO",31330,207.97,170.99,37170,36.98,0.2163,-5840,-0.1571
"2,024",3,"30,647","30,466","Cleveland, OH (Metropolitan Area)","Phoenix, AZ",48080,233.7,193.45,55130,40.24,0.208,-7050,-0.1279
"2,024",3,"30,647","30,693","Cleveland, OH (Metropolitan Area)","Nashville, TN",32260,223.8,190.58,32160,33.22,0.1743,100,0.0031
