Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax
"2,001",1,"30,198","34,492","Pittsburgh, PA","Raleigh/Durham, NC",15970,171.64,254.11,10010,-82.46,-0.3245,5960,0.5954
"2,001",1,"30,257","30,466","Albany, NY","Phoenix, AZ",16860,166.07,289.66,5510,-123.59,-0.4267,11350,2.0599
"2,001",1,"30,257","30,852","Albany, NY","Washington, DC (Metropolitan Area)",55630,88.17,235.22,20840,-147.05,-0.6252,34790,1.6694
"2,001",1,"30,257","30,977","Albany, NY","Chicago, IL",18140,221.37,317.1,13120,-95.73,-0.3019,5020,0.3826
"2,001",1,"30,257","32,575","Albany, NY","Los Angeles, CA (Metropolitan Area)",18090,200.83,339.03,10120,-138.21,-0.4076,7970,0.7875
"2,001",1,"30,397","30,198","Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",68820,109.4,210.66,50900,-101.26,-0.4807,17920,0.3521
"2,001",1,"30,397","35,165","Atlanta, GA (Metropolitan Area)","Toledo, OH",15730,113.84,208.12,5070,-94.28,-0.453,10660,2.1026
"2,001",1,"30,785","31,703","Burlington, VT","New York City, NY (Metropolitan Area)",35110,107.23,202.24,15040,-95.02,-0.4698,20070,1.3344
"2,001",1,"30,792","30,466","Buffalo, NY","Phoenix, AZ",20450,151.28,245.07,8540,-93.79,-0.3827,11910,1.3946
"2,001",1,"30,792","30,852","Buffalo, NY","Washington, DC (Metropolitan Area)",55600,78.92,213.57,20850,-134.65,-0.6305,34750,1.6667
"2,001",1,"30,792","31,703","Buffalo, NY","New York City, NY (Metropolitan Area)",124220,107.08,161.1,81990,-54.02,-0.3353,42230,0.5151
"2,001",1,"30,792","32,575","Buffalo, NY","Los Angeles, CA (Metropolitan Area)",21160,216.29,323.91,12870,-107.62,-0.3323,8290,0.6441
"2,001",1,"31,454","35,165","Orlando, FL","Toledo, OH",14700,117.62,172.02,3840,-54.4,-0.3162,10860,2.8281
"2,001",1,"31,703","34,576","New York City, NY (Metropolitan Area)","Rochester, NY",88380,116.77,168.74,55010,-51.96,-0.308,33370,0.6066
"2,000",4,"30,257","30,466","Albany, NY","Phoenix, AZ",16780,176.3,298.78,5570,-122.48,-0.4099,11210,2.0126
"2,000",4,"30,257","30,852","Albany, NY","Washington, DC (Metropolitan Area)",54320,96.46,197.11,27200,-100.65,-0.5106,27120,0.9971
"2,000",4,"30,257","32,575","Albany, NY","Los Angeles, CA (Metropolitan Area)",23250,206.2,311.36,11850,-105.16,-0.3378,11400,0.962
"2,000",4,"30,257","34,492","Albany, NY","Raleigh/Durham, NC",15040,100.01,195.74,4340,-95.73,-0.489,10700,2.4654
"2,000",4,"30,397","30,198","Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",71290,140.79,224.95,50770,-84.16,-0.3741,20520,0.4042
"2,000",4,"30,397","35,165","Atlanta, GA (Metropolitan Area)","Toledo, OH",19930,104.83,172.75,7380,-67.92,-0.3932,12550,1.7005
"2,000",4,"30,785","31,703","Burlington, VT","New York City, NY (Metropolitan Area)",41560,95.17,177.49,18670,-82.32,-0.4638,22890,1.226
"2,000",4,"30,792","30,852","Buffalo, NY","Washington, DC (Metropolitan Area)",46700,96.44,173.59,28600,-77.15,-0.4444,18100,0.6329
"2,000",4,"30,792","31,703","Buffalo, NY","New York City, NY (Metropolitan Area)",176190,100.21,147.14,106150,-46.93,-0.319,70040,0.6598
"2,000",3,"30,257","30,466","Albany, NY","Phoenix, AZ",19050,169.26,278.9,5520,-109.65,-0.3931,13530,2.4511
"2,000",3,"30,257","30,559","Albany, NY","Seattle, WA",21330,161.39,290.28,8130,-128.89,-0.444,13200,1.6236
"2,000",3,"30,257","30,852","Albany, NY","Washington, DC (Metropolitan Area)",55960,95.42,207.94,26350,-112.52,-0.5411,29610,1.1237
"2,000",3,"30,257","30,977","Albany, NY","Chicago, IL",43520,159.64,239.18,26060,-79.53,-0.3325,17460,0.67
"2,000",3,"30,257","32,575","Albany, NY","Los Angeles, CA (Metropolitan Area)",37810,185.28,295.62,14800,-110.34,-0.3733,23010,1.5547
"2,000",3,"30,257","34,492","Albany, NY","Raleigh/Durham, NC",16470,100.01,193.86,4640,-93.85,-0.4841,11830,2.5496
"2,000",3,"30,397","30,198","Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",68020,155.27,241.9,49020,-86.63,-0.3581,19000,0.3876
"2,000",3,"30,397","31,135","Atlanta, GA (Metropolitan Area)","Myrtle Beach, SC",21980,95.7,181.96,9620,-86.26,-0.4741,12360,1.2848
"2,000",3,"30,397","31,650","Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",118180,138.77,208.02,103670,-69.25,-0.3329,14510,0.14
"2,000",3,"30,529","30,466","Hartford, CT","Phoenix, AZ",30040,194.36,298.51,12580,-104.14,-0.3489,17460,1.3879
"2,000",3,"30,529","30,693","Hartford, CT","Nashville, TN",22140,120.84,259.73,8210,-138.88,-0.5347,13930,1.6967
